Account Name,Sex,Age,the number of cups drink every week,the number of cups considered as healthy drink,Size of cup,Price in RMB
yiyi,Female,22,5,2,large,20
xiaohaidai,Female,22,3,1,medium,15
shiying,Female,22,2,1,medium,15 to 30
penny,Female,22,1,1,large,15 to 30
W.H.O,Female,22,1,0,medium,10 to 20
Orange,Female,21,1,1,medium,12
ali,Female,22,3,1,large,20 to 30
